Country_Region,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Latitude,Longtitude,Mean_Age,Lockdown_Date,Lockdown_Type,Country_Code
Ethiopia,109224559,849000,4/6/2020,3/14/2020,9.145,40.489673,18.6,3/16/2020,Full,ETH
Fiji,883483,870000,,3/20/2020,-16.578193,179.414413,27.6,3/20/2020,Partial,FJI
Finland,5515525,3224000,3/22/2020,1/30/2020,61.92411,25.748151,42.5,3/27/2020,Full,FIN
France,66977107,89322000,2/16/2020,1/25/2020,46.227638,2.213749,41.2,3/16/2020,Full,FRA
Gabon,2119275,14000,3/21/2020,3/15/2020,-0.803689,11.609444,22.6,4/13/2020,Partial,GAB
Gambia,2280000,14000,3/24/2020,3/18/2020,13.443182,-15.310139,17,,,GMB
Georgia,3726549,4757000,4/5/2020,2/27/2020,42.315407,43.356892,38,3/22/2020,Partial,GEO
Germany,82905782,38881000,3/10/2020,1/28/2020,51.165691,10.451526,45.9,3/20/2020,Full,DEU
Ghana,29767108,14000,3/22/2020,3/15/2020,7.946527,-1.023194,20.4,3/15/2020,Full,GHA
Greece,10731726,30123000,3/12/2020,2/27/2020,39.074208,21.824312,43.3,3/18/2020,Full,GRC
Grenada,111454,185000,,3/23/2020,12.262776,-61.604171,27.2,3/25/2020,Full,GRD
Guatemala,17247807,1781000,3/17/2020,3/15/2020,15.783471,-90.230759,21.3,,,GTM
Guinea,12414318,14000,4/16/2020,3/14/2020,9.945587,-9.696645,18.4,,,GIN
Guinea-Bissau,1874309,14000,4/27/2020,3/26/2020,11.803749,-15.180413,18.9,,,GNB
Guyana,779004,287000,3/13/2020,3/13/2020,4.860416,-58.93018,24.6,,,GUY
Haiti,11123176,447000,4/6/2020,3/21/2020,18.971187,-72.285215,23,,,HTI
Holy See,825,14000,,3/7/2020,41.9029,12.4534,37,3/9/2020,Full,VAT
Honduras,9587522,14000,3/27/2020,3/12/2020,15.199999,-86.241905,23,3/20/2020,Partial,HND
Hungary,9775564,17552000,3/16/2020,3/5/2020,47.162494,19.503304,41.7,3/16/2020,Full,HUN
Iceland,352721,2343800,3/17/2020,2/29/2020,64.963051,-19.020835,36,3/16/2020,Full,ISL
India,1352617328,17423000,3/12/2020,1/31/2020,20.593684,78.96288,26.7,3/24/2020,Full,IND
Indonesia,267663435,15810000,3/12/2020,3/3/2020,-0.789275,113.921327,28,4/10/2020,Partial,IDN
Iran,81800269,7295000,2/20/2020,2/20/2020,32.427908,53.688046,29.5,3/15/2020,Full,IRN
Iraq,38433600,14000,3/5/2020,2/25/2020,33.223191,43.679291,19.4,3/22/2020,Full,IRQ
Ireland,4867309,10926000,3/12/2020,3/1/2020,53.41291,-8.24389,36.9,3/12/2020,Full,IRL
Israel,8882800,4121000,3/22/2020,2/22/2020,31.046051,34.851612,30.2,3/12/2020,Full,ISR
Italy,60421760,61567200,2/22/2020,2/1/2020,41.87194,12.56738,45.9,3/11/2020,Full,ITA
Jamaica,2934855,2473000,3/20/2020,3/12/2020,18.109581,-77.297508,29.4,3/12/2020,Full,JAM
Japan,126529100,31192000,2/14/2020,1/23/2020,36.204824,138.252924,46.3,2/27/2020,Full,JPN
Jordan,9956011,4150000,3/28/2020,3/4/2020,30.585164,36.238414,22.1,3/21/2020,Full,JOR
Kazakhstan,18272430,8789000,3/26/2020,3/14/2020,48.019573,66.923684,29.3,3/19/2020,Partial,KAZ
Kenya,51393010,14000,3/27/2020,3/14/2020,-0.023559,37.906193,19,3/15/2020,Full,KEN
"Korea, South",51606633,15347000,2/21/2020,1/23/2020,35.9078,127.7669,37,,,KOR
Kosovo,1845300,14000,3/27/2020,3/27/2020,42.602636,20.902977,37,3/25/2020,Partial,RKS
Kuwait,4137309,8508000,4/5/2020,2/25/2020,29.31166,47.481766,33.4,3/16/2020,Partial,KWT
Kyrgyzstan,6316000,14000,4/4/2020,3/19/2020,41.20438,74.766098,25.3,3/24/2020,Partial,KGZ
Laos,7062000,14000,,3/25/2020,19.85627,102.495496,37,3/29/2020,Full,LAO
Latvia,1927174,1946000,4/4/2020,3/3/2020,56.879635,24.603189,42.5,3/13/2020,Full,LVA
Lebanon,6848925,1964000,3/11/2020,2/22/2020,33.854721,35.862285,28.5,3/16/2020,Full,LBN
Liberia,4818977,14000,4/5/2020,3/17/2020,6.428055,-9.429499,18.6,3/23/2020,Partial,LBR
Libya,6678567,14000,4/3/2020,3/25/2020,26.3351,17.228331,27.2,3/22/2020,Full,LBY
Liechtenstein,37910,85300,4/5/2020,3/5/2020,47.166,9.555373,37,,,LIE
Lithuania,2801543,2825000,3/22/2020,2/29/2020,55.169438,23.881275,42.7,3/16/2020,Full,LTU
Luxembourg,607950,1018000,3/15/2020,3/1/2020,49.815273,6.129583,39.3,3/16/2020,Full,LUX
MS Zaandam,712,14000,4/2/2020,3/29/2020,-100,-100,37,,,NAN
Madagascar,26262368,291000,,3/21/2020,-18.766947,46.869107,18.7,3/23/2020,Partial,MDG
Malawi,18143315,871000,4/8/2020,4/3/2020,-13.254308,34.301525,17.4,,,MWI
Malaysia,31528585,25832000,3/18/2020,1/26/2020,4.210484,101.975766,27.7,3/18/2020,Full,MYS
Maldives,515696,1484000,,3/9/2020,3.202778,73.22068,27.9,3/11/2020,Full,MDV
Mali,19077690,14000,3/30/2020,3/26/2020,17.570692,-3.996166,16,3/18/2020,Full,MLI
Malta,484630,2599000,4/9/2020,3/8/2020,35.937496,14.375416,40.9,3/12/2020,Full,MLT
Mauritania,4403319,14000,3/31/2020,3/15/2020,21.00789,-10.940835,19.7,,,MRT
Mauritius,1265303,1399000,3/22/2020,3/19/2020,-20.348404,57.552152,35.6,3/17/2020,Partial,MUS
Mexico,126190788,41313000,3/20/2020,2/29/2020,23.634501,-102.552784,27.5,3/14/2020,Partial,MEX
Moldova,2706049,160000,3/19/2020,3/9/2020,47.411631,28.369885,37,3/11/2020,Full,MDA
Monaco,38682,347000,3/30/2020,3/1/2020,43.750298,7.412841,37,3/17/2020,Full,MCO
Mongolia,3170208,529000,,3/11/2020,46.862496,103.846656,27.1,3/10/2020,Full,MNG
Montenegro,622227,2077000,3/24/2020,3/18/2020,42.708678,19.37439,37.7,3/24/2020,Full,MNE
Morocco,36029138,12289000,3/11/2020,3/3/2020,31.791702,-7.09262,27.9,3/16/2020,Full,MAR
Mozambique,29495962,2743000,,3/23/2020,-18.665695,35.529562,17.2,4/1/2020,Full,MOZ
Namibia,2448255,14000,,3/15/2020,-22.95764,18.49041,21,3/14/2020,Full,NAM
Nepal,28087871,1173000,,1/26/2020,28.394857,84.124008,23.2,3/24/2020,Full,NPL
Netherlands,17231624,18780000,3/7/2020,2/28/2020,52.132633,5.291266,42.1,3/24/2020,Full,NLD
New Zealand,4841000,3686000,3/30/2020,2/29/2020,-40.900557,174.885971,37.3,3/25/2020,Full,NZL
Nicaragua,6465513,1256000,3/28/2020,3/20/2020,12.865416,-85.207229,25.2,,,NIC
Niger,22442948,157000,3/26/2020,3/21/2020,17.607789,8.081666,14.9,,,NER
Nigeria,195874740,14000,3/24/2020,2/29/2020,9.081999,8.675277,17.9,3/25/2020,Full,NGA
North Macedonia,2082958,707000,3/23/2020,2/27/2020,41.6086,21.7453,37,3/18/2020,Full,MKD
Norway,5311916,5688000,3/15/2020,2/27/2020,60.472024,8.468946,39.2,3/12/2020,Full,NOR
Oman,4829483,2301000,4/1/2020,2/25/2020,21.512583,55.923255,29,3/29/2020,Partial,OMN
Pakistan,212215030,14000,3/20/2020,2/27/2020,30.375321,69.345116,22.5,3/26/2020,Full,PAK
Panama,4176873,1785000,3/12/2020,3/11/2020,8.537981,-80.782127,28.4,3/25/2020,Full,PAN
Papua New Guinea,8606316,140000,,3/21/2020,-6.314993,143.95555,21.7,3/24/2020,Full,PNG
Paraguay,6956071,1181000,3/22/2020,3/9/2020,-23.442503,-58.443832,24.9,3/15/2020,Partial,PRY
Peru,31989256,4419000,3/21/2020,3/7/2020,-9.189967,-75.015152,27.5,3/10/2020,Full,PER
